Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-01-02 12:53:00-05:00,91.1872199127157,0.6227734516153125,89.36972358716856,9.360115848090595,40871.11694609533,0%
2025-01-02 12:54:00-05:00,91.43597094577646,0.6221171717840325,89.37099797212548,9.362053792123286,40870.909611890755,0%
2025-01-02 12:55:00-05:00,91.68472189453196,0.6214491469006522,89.37228424529798,9.363991894473491,40870.702265114975,0%
2025-01-02 12:56:00-05:00,91.93347275788692,0.6207693894833549,89.37358238265084,9.36593015589527,40870.49490568307,0%
2025-01-02 12:57:00-05:00,92.18222353519445,0.6200779122700204,89.37489235992845,9.36786857668106,40870.287533559225,0%
2025-01-02 12:58:00-05:00,92.4309742253691,0.6193747282216941,89.37621415264775,9.369807157559977,40870.08014866105,0%
2025-01-02 12:59:00-05:00,92.67972482777823,0.6186598505186,89.37754773610628,9.371745898805571,40869.87275095473,0%
2025-01-02 13:00:00-05:00,92.92847534134833,0.6179332925636591,89.37889308537497,9.373684801123854,40869.66534036025,0%
2025-01-02 13:01:00-05:00,93.17722576544892,0.6171950679784307,89.38025017530633,9.375623864768567,40869.45791684586,0%
2025-01-02 13:02:00-05:00,93.42597609902836,0.6164451906066981,89.38161898052725,9.37756309041679,40869.25048033452,0%
2025-01-02 13:03:00-05:00,93.67472634146462,0.6156836745103444,89.38299947544706,9.37950247830412,40869.04303079641,0%
2025-01-02 13:04:00-05:00,93.9234764917169,0.6149105339729523,89.38439163425048,9.3814420290846,40868.83556815688,0%
2025-01-02 13:05:00-05:00,94.17222654917819,0.6141257834957065,89.38579543090562,9.383381742970471,40868.628092388484,0%
2025-01-02 13:06:00-05:00,94.42097651281445,0.6133294378009387,89.38721083915686,9.385321620591787,40868.42060341908,0%
2025-01-02 13:07:00-05:00,94.66972638192759,0.6125215118284688,89.38863783253215,9.38726166224514,40868.213101212146,0%
2025-01-02 13:08:00-05:00,94.91847615581655,0.6117020207367833,89.39007638434046,9.389201868218157,40868.00558573214,0%
2025-01-02 13:09:00-05:00,95.16722583347372,0.6108709799042745,89.39152646766955,9.391142239106223,40867.798056910455,0%
2025-01-02 13:10:00-05:00,95.41597541432027,0.6100284049253872,89.39298805539309,9.393082775062958,40867.59051472576,0%
2025-01-02 13:11:00-05:00,95.66472489735756,0.6091743116144434,89.39446112016351,9.395023476660453,40867.382959111936,0%
2025-01-02 13:12:00-05:00,95.91347428202023,0.6083087160012074,89.39594563442027,9.396964344034815,40867.17539004946,0%
2025-01-02 13:13:00-05:00,96.16222356732194,0.6074316343346929,89.39744157038253,9.398905377735431,40866.96780747456,0%
2025-01-02 13:14:00-05:00,96.4109727527149,0.606543083078779,89.3989489000576,9.40084657786419,40866.76021137128,0%
2025-01-02 13:15:00-05:00,96.65972183722373,0.6056430789159908,89.40046759523348,9.402787944953136,40866.55260167764,0%
2025-01-02 13:16:00-05:00,96.90847082030736,0.6047316387430377,89.40199762748739,9.404729479088498,40866.34497837931,0%
2025-01-02 13:17:00-05:00,97.15721970100888,0.6038087796747237,89.4035389681783,9.406671180772404,40866.13734141739,0%
2025-01-02 13:18:00-05:00,97.40596847869965,0.6028745190398638,89.40509158845447,9.408613050171367,40865.92969076896,0%
2025-01-02 13:19:00-05:00,97.65471715274958,0.6019288743825723,89.40665545925098,9.410555087444294,40865.72202641172,0%
2025-01-02 13:20:00-05:00,97.90346572222488,0.6009718634636415,89.40823055128732,9.41249729305658,40865.51434829068,0%
2025-01-02 13:21:00-05:00,98.15221418661356,0.6000035042562128,89.40981683507488,9.414439667040654,40865.30665639705,0%
2025-01-02 13:22:00-05:00,98.4009625450001,0.5990238149500623,89.41141428090947,9.416382209833904,40865.09895067874,0%
2025-01-02 13:23:00-05:00,98.64971079688709,0.5980328139466089,89.41302285888004,9.418324921441778,40864.89123112981,0%
2025-01-02 13:24:00-05:00,98.89845894136923,0.5970305198631994,89.41464253886106,9.420267802282039,40864.68349770014,0%
2025-01-02 13:25:00-05:00,99.14720697796253,0.5960169515281547,89.41627329052119,9.422210852340859,40864.47575038585,0%
2025-01-02 13:26:00-05:00,99.39595490577953,0.5949921279849898,89.41791508331576,9.424154072003551,40864.26798914018,0%
2025-01-02 13:27:00-05:00,99.6447027243515,0.5939560684874872,89.41956788649551,9.426097461236953,40864.060213961224,0%
2025-01-02 13:28:00-05:00,99.89345043279859,0.5929087925039507,89.4212316690989,9.428041020405432,40863.85242480441,0%
2025-01-02 13:29:00-05:00,100.14219803067537,0.591850319712155,89.42290639996106,9.429984749443292,40863.644621671236,0%
2025-01-02 13:30:00-05:00,100.39094551711203,0.5907806700037017,89.4245920477059,9.431928648698305,40863.43680451891,0%
2025-01-02 13:31:00-05:00,100.63969289157052,0.5896998634794923,89.42628858075416,9.433872718188326,40863.22897333986,0%
2025-01-02 13:32:00-05:00,100.88844015352072,0.5886079204511149,89.42799596732078,9.435816957911126,40863.021128128625,0%
2025-01-02 13:33:00-05:00,101.13718730211349,0.587504861442302,89.4297141754124,9.437761368182843,40862.81326884571,0%
2025-01-02 13:34:00-05:00,101.3859343369429,0.586390707184303,89.43144317283523,9.439705948874673,40862.60539549914,0%
2025-01-02 13:35:00-05:00,101.63468125717515,0.5852654786203413,89.43318292718729,9.441650700278585,40862.397508051894,0%
2025-01-02 13:36:00-05:00,101.88342806242262,0.5841291969003237,89.43493340586753,9.443595622232303,40862.1896065155,0%
2025-01-02 13:37:00-05:00,102.13217475186367,0.5829818833853978,89.43669457606781,9.445540715011049,40861.98169085472,0%
2025-01-02 13:38:00-05:00,102.38092132511949,0.5818235596425658,89.43846640478212,9.447485978436474,40861.773761082724,0%
2025-01-02 13:39:00-05:00,102.62966778139432,0.5806542474493025,89.4402488587987,9.449431412748037,40861.56581716796,0%
2025-01-02 13:40:00-05:00,102.87841412032628,0.5794739687880364,89.44204190470911,9.451377017744713,40861.357859125936,0%
2025-01-02 13:41:00-05:00,103.12716034112621,0.5782827458509042,89.44384550890042,9.45332279364478,40861.14988692741,0%
2025-01-02 13:42:00-05:00,103.37590644334625,0.5770806010348389,89.4456596375632,9.45526874032871,40860.941900579084,0%
2025-01-02 13:43:00-05:00,103.62465242653087,0.5758675569429856,89.447484256689,9.457214857674282,40860.733900088,0%
2025-01-02 13:44:00-05:00,103.87339828993014,0.5746436363863605,89.44931933206782,9.459161145856282,40860.52588542934,0%
2025-01-02 13:45:00-05:00,104.12214403321626,0.5734088623787437,89.45116482929629,9.461107604615442,40860.31785662479,0%
2025-01-02 13:46:00-05:00,104.37088965564548,0.5721632581415658,89.45302071376945,9.463054234108506,40860.10981365134,0%
2025-01-02 13:47:00-05:00,104.61963515690807,0.5709068470981403,89.45488695069041,9.465001034056892,40859.90175653263,0%
2025-01-02 13:48:00-05:00,104.86838053628267,0.5696396528785882,89.45676350506207,9.466948004587278,40859.69368524889,0%
2025-01-02 13:49:00-05:00,105.11712579347365,0.5683616993139664,89.45865034169658,9.468895145393017,40859.48559982665,0%
