Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Radiant Flux (W),Counts,Airmass
2024-08-22 15:41:15.500000-04:00,37.878325235208735,9.593396317244204,325.0060595262385,-34.64877341849221,7963.579211106529,0.0,0.0,-1.758775374770998
2024-08-22 15:41:16-04:00,37.90209601729215,9.596649893753403,324.9846666100552,-34.63620908336873,7961.4601605103435,0.0,0.0,-1.7593312216667334
2024-08-22 15:41:16.500000-04:00,37.92587442704585,9.599892900543885,324.9632673974633,-34.62364602283617,7959.341087701862,0.0,0.0,-1.7598874470041344
2024-08-22 15:41:17-04:00,37.9496604655309,9.603125327922438,324.94186188017164,-34.6110842389097,7957.221993290478,0.0,0.0,-1.7604440510251127
2024-08-22 15:41:17.500000-04:00,37.973454133795855,9.60634716618749,324.9204500498941,-34.59852373361094,7955.102877886843,0.0,0.0,-1.7610010339714148
2024-08-22 15:41:18-04:00,37.99725543288435,9.609558405631255,324.8990318983329,-34.58596450895856,7952.983742101205,0.0,0.0,-1.761558396085036
2024-08-22 15:41:18.500000-04:00,38.02106436383524,9.61275903653759,324.8776074171935,-34.57340656697683,7950.86458654488,0.0,0.0,-1.7621161376078462
2024-08-22 15:41:19-04:00,38.04488092768382,9.615949049183662,324.85617659817325,-34.560849909689246,7948.745411829164,0.0,0.0,-1.7626742587818671
2024-08-22 15:41:19.500000-04:00,38.06870512545512,9.61912843383843,324.8347394329731,-34.548294539124896,7946.626218566446,0.0,0.0,-1.763232759848987
2024-08-22 15:41:20-04:00,38.092536958169504,9.622297180764498,324.81329591328216,-34.53574045731009,7944.507007368735,0.0,0.0,-1.7637916410513417
2024-08-22 15:41:20.500000-04:00,38.11637642683951,9.625455280215897,324.79184603079557,-34.52318766627822,7942.387778849363,0.0,0.0,-1.7643509026308672
2024-08-22 15:41:21-04:00,38.14022353247606,9.628602722440204,324.7703897771988,-34.51063616806083,7940.26853362149,0.0,0.0,-1.7649105448296987
2024-08-22 15:41:21.500000-04:00,38.16407827608398,9.631739497677199,324.74892714417643,-34.49808596469288,7938.149272298946,0.0,0.0,-1.7654705678899374
2024-08-22 15:41:22-04:00,38.18794065865343,9.634865596159209,324.7274581234108,-34.48553705821176,7936.029995496097,0.0,0.0,-1.7660309720536942
2024-08-22 15:41:22.500000-04:00,38.21181068117832,9.63798100811133,324.70598270657956,-34.47298945065602,7933.910703827626,0.0,0.0,-1.7665917575631418
2024-08-22 15:41:23-04:00,38.2356883446427,9.6410857237511,324.6845008853592,-34.460443144067106,7931.791397908837,0.0,0.0,-1.7671529246604427
2024-08-22 15:41:23.500000-04:00,38.259573650023405,9.644179733288723,324.6630126514216,-34.44789814048795,7929.672078355369,0.0,0.0,-1.7677144735878048
2024-08-22 15:41:24-04:00,38.28346659829197,9.647263026927138,324.6415179964352,-34.435354441963064,7927.55274578328,0.0,0.0,-1.7682764045874857
